Code,Name,City,Slug,Lat,Long
BZG,Bydgoszcz,Bydgoszcz,bzg,53.0968,17.9777
POZ,Poznan,Poznan,poz,52.421031,16.826325
BIQ,Biarritz,Biarritz,biq,43.468419,-1.523325
SCQ,Santiago de Compostela,Santiago de Compostela,scq,42.896333,-8.415144
SZZ,Szczecin,Szczecin,szz,53.584731,14.902206
PSA,Pisa,Pisa,psa,43.683917,10.39275
ZAZ,Zaragoza Airport,Zaragoza,zaz,41.666242,-1.041553
CRL,Brussels S. Charleroi Airport,Brussels,crl,50.459197,4.453817
BTS,Bratislava,Bratislava,bts,48.170167,17.212667
BRE,Bremen,Bremen,bre,53.0475,8.786667
TUF,Tours Val de Loire Airport,Tours,tuf,47.432222,0.727606
SVQ,Sevilla Airport,Sevilla,svq,37.418,-5.893106
MPL,Montpellier Mediterranee Apt,Montpellier,mpl,43.576194,3.963014
BLQ,Bologna Guglielmo Marconi,Bologna,blq,44.535444,11.288667
GRO,Girona,Girona,gro,41.900969,2.760547
CHQ,Chania,Chania,chq,35.531747,24.149678
SDR,Santander,,sdr,43.427064,-3.820006
TPS,Trapani,Trapani,tps,37.911403,12.487961
FSC,Figari,Figari,fsc,41.500557,9.097777
MST,Maastricht/Aachen,Maastricht/Aachen,mst,50.911658,5.770144
GSE,Goteborg City Apt,Goteborg,gse,57.774722,11.870372
SKG,Thessaloniki,Thessaloniki,skg,40.519725,22.97095
GPA,Patrai,Patrai,gpa,38.151111,21.425556
CIY,Comiso,Comiso,ciy,37,14.6144
FEZ,Fes,Fes,fez,33.927261,-4.977958
OUD,Oujda,Oujda,oud,34.78715,-1.923986
RBA,Rabat,Rabat,rba,34.051467,-6.751519
BOH,Bournemouth,Bournemouth,boh,50.78,-1.8425
BES,Brest,,bes,48.447911,-4.418539
LIL,Lille Lesquin Airport,,lil,50.561942,3.089444
CFE,Clermont-Ferrand,Clermont-Ferrand,cfe,45.786661,3.169169
VST,Stockholm Vasteras Apt,Stockholm,vst,59.589444,16.633611
PIK,Glasgow Prestwick Apt,Glasgow (GB),pik,55.509444,-4.586667
VNO,Vilnius,Vilnius,vno,54.634133,25.285767
CCF,Carcassonne,Carcassonne,ccf,43.215978,2.306317
KIR,Kerry,Kerry,kir,52.180878,-9.523783
LRH,La Rochelle,La Rochelle,lrh,46.1792,-1.19528
EBU,St-etienne,St-etienne,ebu,45.540554,4.296389
OSI,Osijek,Osijek,osi,45.462667,18.810156
ZAD,Zadar,Zadar,zad,44.108269,15.346697
AAR,Aarhus Tirstrup Airport,Aarhus,aar,56.300017,10.619008
RYG,Oslo Moss-rygge Airport,Oslo,ryg,59.378933,10.785389
HAU,Haugesund,Haugesund,hau,59.345267,5.208364
TSF,Venice Treviso/Sant'Angelo Apt,Venice,tsf,45.6484,12.194422
ORK,Cork,Cork,ork,51.841269,-8.491111
GOA,Genoa,Genoa,goa,44.413333,8.8375
